PariticipantID,SessionIndex,SessionStart,SessionEnd,PracticeStart,PracticeEnd,MainStart,MainEnd,QuestionStart,QuestionEnd,TrialStatus,TrialIndex,TrialStart,TrialVisualizationStart,TrialVisualizationEnd,TrialAnswerStart,TrialAnswerEnd,TrialFeedbackStart,TrialEnd,TrialAnswer,TrialIntAccuracy,TrialSolution,TrialDataset,FactorStereo,FactorMotion,FactorPerspective,FactorShading,Dim,Step,BinIndex,BinLower,BinUpper,File
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,4,1553000845708,1553000846709,1553000851138,1553000852139,1553000854600,-999,1553000854651,86,90,0.9016,cifar10,no,yes,yes,flat,3,6.33333,3,86.1667,92.5,cifar10-e0112-f0-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,5,1553000854651,1553000855652,1553000862642,1553000863643,1553000868089,-999,1553000868140,37,39,0.3978,cifar10,no,yes,yes,flat,3,6.33333,0,38.5,73.5,cifar10-e0001-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,6,1553000868140,1553000869145,1553000876930,1553000877931,1553000883257,-999,1553000883308,59,74,0.745,cifar10,no,yes,yes,flat,3,6.33333,1,73.5,79.8333,cifar10-e0017-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,7,1553000883308,1553000884309,1553000898602,1553000899603,1553000902113,-999,1553000902163,73,84,0.8408,cifar10,no,yes,yes,flat,3,6.33333,2,79.8333,86.1667,cifar10-e0042-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,8,1553000902163,1553000903164,1553000905403,1553000906404,1553000907985,-999,1553000908036,92,89,0.8984,cifar10,no,yes,yes,shading-1,3,6.33333,3,86.1667,92.5,cifar10-e0108-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,9,1553000908036,1553000909037,1553000913250,1553000914251,1553000917809,-999,1553000917860,39,60,0.602,cifar10,no,yes,yes,shading-1,3,6.33333,0,38.5,73.5,cifar10-e0002-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,10,1553000917860,1553000918861,1553000921914,1553000922915,1553000925793,-999,1553000925844,72,78,0.789,cifar10,no,yes,yes,shading-1,3,6.33333,1,73.5,79.8333,cifar10-e0026-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,11,1553000925844,1553000926845,1553000933162,1553000934163,1553000936696,-999,1553000936747,81,85,0.85,cifar10,no,yes,yes,shading-1,3,6.33333,2,79.8333,86.1667,cifar10-e0067-f0-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,12,1553000936747,1553000937748,1553000942274,1553000943275,1553000946225,-999,1553000946276,68,77,0.7754,cifar10,no,yes,no,flat,3,6.33333,1,73.5,79.8333,cifar10-e0046-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,13,1553000946276,1553000947277,1553000952306,1553000953307,1553000955312,-999,1553000955363,86,82,0.8286,cifar10,no,yes,no,flat,3,6.33333,2,79.8333,86.1667,cifar10-e0036-f0-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,14,1553000955363,1553000956364,1553000961595,1553000962596,1553000964984,-999,1553000965035,74,73,0.7326,cifar10,no,yes,no,flat,3,6.33333,0,38.5,73.5,cifar10-e0022-f0-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,15,1553000965035,1553000966036,1553000969978,1553000970979,1553000974201,-999,1553000974252,85,90,0.9098,cifar10,no,yes,no,flat,3,6.33333,3,86.1667,92.5,cifar10-e0148-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,16,1553000974252,1553000975253,1553000981547,1553000982548,1553000985913,-999,1553000985964,89,82,0.8254,cifar10,no,yes,no,shading-2,3,6.33333,2,79.8333,86.1667,cifar10-e0070-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,17,1553000985964,1553000986965,1553000990724,1553000991725,1553000994904,-999,1553000994955,82,72,0.725,cifar10,no,yes,no,shading-2,3,6.33333,0,38.5,73.5,cifar10-e0022-f1-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,18,1553000994955,1553000995956,1553001014621,1553001015622,1553001018984,-999,1553001019035,80,78,0.7858,cifar10,no,yes,no,shading-2,3,6.33333,1,73.5,79.8333,cifar10-e0046-f0-5k-l-2-tsne.txt
P1,1,1553000678136,1553001057835,1553000678136,1553000798500,1553000800220,1553001057835,1553001063057,1553001212566,main,19,1553001019035,1553001020036,1553001023349,1553001024350,1553001026281,-999,1553001026332,91,90,0.905,cifar10,no,yes,no,shading-2,3,6.33333,3,86.1667,92.5,cifar10-e0145-f1-5k-l-2-tsne.txt
